language;test_package;file_packages_installed
JavaScript;chai;package.json
JavaScript;enzyme;package.json
JavaScript;enzyme-adapter-react-16;package.json
JavaScript;karma;package.json
JavaScript;selenium-webdriver;package.json
JavaScript;jest;package.json
JavaScript;supertest;package.json
JavaScript;enzyme-adapter-utils;package.json
JavaScript;protractor;package.json
JavaScript;ts-jest;package.json
JavaScript;nyc;package.json
JavaScript;jest-cli;package.json
JavaScript;cypress;package.json
JavaScript;ava;package.json
JavaScript;json-server;package.json
JavaScript;react-testing-library;package.json
JavaScript;cucumber;package.json
JavaScript;jsdom;package.json
JavaScript;Electron;package.json
JavaScript;Istanbul;package.json
JavaScript;Unexpected;package.json
JavaScript;Sinon.JS;package.json
JavaScript;testdouble.js;package.json
JavaScript;mocha;package.json
JavaScript;tape;package.json
JavaScript;selenium;package.json
JavaScript;Protractor;package.json
JavaScript;Nightwatch;package.json
JavaScript;Appium;package.json
JavaScript;TestCafe;package.json
JavaScript;Cypress;package.json
JavaScript;Puppeteer;package.json
JavaScript;PhantomJS;package.json
JavaScript;Percy;package.json
JavaScript;Happo;package.json
JavaScript;Gemini;package.json
Python;unittest;requirements.txt
Python;pytest;requirements.txt
Python;hypothesis;requirements.txt
Python;tox;requirements.txt
Python;mock;requirements.txt
Python;nose;requirements.txt
Python;doctest;requirements.txt
Java;junit;pom.xml
Java;testNG;pom.xml
Java;EasyMock;pom.xml
Java;mockito-all;pom.xml
Java;mockito-core;pom.xml
Java;scalatest;pom.xml
Java;spring-test;pom.xml
Java;hamcrest-all;pom.xml
Go;testing;go.sum
Go;gomega;go.sum
Go;ginkgo;go.sum
Go;assert;go.sum
Go;gucumber;go.sum
Go;e2e;go.sum
Go;go-check;go.sum
Go;testutil;go.sum
Go;go-testing-interface;go.sum
Go;biff;go.sum
Go;Testify;go.sum
Go;require;go.sum
Go;convey;go.sum
Go;check;go.sum
Go;suite;go.sum
Go;gocheck;go.sum
Go;spew;go.sum
Ruby;rspec;Gemfile
Ruby;Test::Unit;Gemfile
Ruby;Cucumber;Gemfile
Ruby;Shoulda;Gemfile
PHP;phpunit;composer.json
PHP;mockery;composer.json
PHP;hamcrest-php;composer.json
PHP;php-code-coverage;composer.json
PHP;codeception;composer.json
PHP;behat;composer.json
PHP;test-pack;composer.json
PHP;phpspec;composer.json
PHP;phpunit-selenium;composer.json
TypeScript;chai;package.json
TypeScript;enzyme;package.json
TypeScript;enzyme-adapter-react-16;package.json
TypeScript;karma;package.json
TypeScript;selenium-webdriver;package.json
TypeScript;jest;package.json
TypeScript;supertest;package.json
TypeScript;enzyme-adapter-utils;package.json
TypeScript;protractor;package.json
TypeScript;ts-jest;package.json
TypeScript;nyc;package.json
TypeScript;jest-cli;package.json
TypeScript;cypress;package.json
TypeScript;ava;package.json
TypeScript;json-server;package.json
TypeScript;react-testing-library;package.json
TypeScript;cucumber;package.json
TypeScript;jsdom;package.json
TypeScript;Electron;package.json
TypeScript;Istanbul;package.json
TypeScript;Unexpected;package.json
TypeScript;Sinon.JS;package.json
TypeScript;testdouble.js;package.json
TypeScript;mocha;package.json
TypeScript;tape;package.json
TypeScript;selenium;package.json
TypeScript;Protractor;package.json
TypeScript;Nightwatch;package.json
TypeScript;Appium;package.json
TypeScript;TestCafe;package.json
TypeScript;Cypress;package.json
TypeScript;Puppeteer;package.json
TypeScript;PhantomJS;package.json
TypeScript;Percy;package.json
TypeScript;Happo;package.json
TypeScript;Gemini;package.json
C#;NUnit3TestAdapter;NuGet.config
C#;NUnit;NuGet.config
C#;CoreClr;NuGet.config